Day,Month,IncidentYear,VictimInjury,State,Location,latitude,longitude,SharkType,SharkLength(m),Provoked,SharkCount,VictimActivity,InjuryLocation,InjurySeverity,VictimGender,VictimAge
17,5,2012,Injured,NSW,"forster, barge wreck",-32.21666667,152.6,wobbegong,1.8,Provoked,1,diving,"arm, hand",minor lacerations,Male,57
27,5,2012,Uninjured,NSW,"redhead beach, newcastle",-33,151.7,white shark,2,Unprovoked,1,unmotorised boating,other: uninjured,,Male,30
12,6,2012,Injured,VIC,port campbell,-38.61666667,142.9833333,white shark,1.5,Unprovoked,1,boarding,leg,minor lacerations,Male,42
22,6,2012,Injured,TAS,south west national park,-43.51666667,146.2333333,white shark,5.3,Unprovoked,1,boarding,leg,abrasion,Male,
20,6,2012,Uninjured,WA,"pinnaroo point, kallaroo, perth",-31.78333333,115.7166667,white shark,3.5,Unprovoked,1,unmotorised boating,other: uninjured,,Male,61
31,7,2012,Injured,SA,"streaky bay, black beach",-32.76666667,134.2,white shark,,Unprovoked,1,boarding,"arm, shoulder",major lacerations,Male,47
14,7,2012,Fatal,WA,"wedge island, north of perth",-30.83333333,115.2666667,white shark,3.6,Unprovoked,1,boarding,other: body not recovered,,Male,24
28,8,2012,Injured,WA,"red bluff, north of carnarvon",-24.38333333,113.3833333,tiger shark,3.5,Unprovoked,1,boarding,torso,major lacerations,Male,34
3,10,2012,Uninjured,WA,"mullaloo beach, perth",-31.76666667,115.7166667,white shark,1.3,Unprovoked,1,boarding,other: uninjured,,Male,11
28,12,2012,Injured,NSW,"kylie's beach, diamond head",-31.73333333,152.7833333,bull shark,3,Unprovoked,1,boarding,thigh,major lacerations,Male,29
2,12,2012,Injured,NSW,"south west rocks, fish rock",-30.86666667,153.0333333,grey nurse shark,,Provoked,1,spearfishing,leg,minor lacerations,Male,31
30,12,2012,Uninjured,NSW,"dee why beach, sydney",-33.75,151.3,white shark,2.5,Unprovoked,1,boarding,other: uninjured,,Male,
5,1,2013,Injured,WA,"cape legendre, cape legendre island",-20.35,116.8166667,whaler shark,,Provoked,1,spearfishing,leg,minor lacerations,Male,
25,1,2013,Injured,QLD,noosa heads,-26.36666667,153.0833333,tiger shark,,Unprovoked,1,boarding,"torso, shoulder",minor lacerations,Male,
10,3,2013,Injured,WA,"geraldton, african reef",-28.8,114.6,bronze whaler shark,2.5,Provoked,1,spearfishing,"arm, hand",minor lacerations,Male,28
22,4,2013,Injured,NSW,"yamba, spooky beach, angourie",-29.46666667,153.35,wobbegong,,Provoked,1,swimming,leg,other: teeth marks,Female,
24,5,2013,Uninjured,WA,"secret harbour, perth",-32.4,115.7333333,white shark,,Unprovoked,1,boarding,other: uninjured,,Male,
29,5,2013,Injured,NSW,"byron bay, wategos beach",-28.63333333,153.6,wobbegong,1,Provoked,1,swimming,foot,other: teeth marks,Male,65
6,6,2013,Uninjured,NSW,"target beach, jarvis bay",-35.06666667,150.7833333,white shark,1.8,Unprovoked,1,boarding,other: uninjured,,Male,
