Day,Month,IncidentYear,VictimInjury,State,Location,latitude,longitude,SharkType,SharkLength(m),Provoked,SharkCount,VictimActivity,InjuryLocation,InjurySeverity,VictimGender,VictimAge
25,9,2017,Uninjured,WA,"north point beach, gracetown",-33.8585,114.9843,white shark,3.5,Unprovoked,1,boarding,,,Female,
10,9,2017,Injured,WA,"sams creek, karratha",-20.61367,117.1863,whaler shark,1,Unprovoked,1,swimming,leg,,Male,
22,10,2017,Uninjured,SA,"lady bay, normanville, adelaide",-35.448,138.318,white shark,4,Unprovoked,1,unmotorised boating,,,Female,
28,10,2017,Injured,NSW,"birubi beach, port stephens",-32.798333,152.079167,wobbegong,,Provoked,1,boarding,foot,minor lacerations,Male,31
13,11,2017,Injured,NSW,avoca beach,-33.465,151.435,white shark,2.6,Unprovoked,1,boarding,arm,minor lacerations,Male,25
11,12,2017,Uninjured,NSW,"birubi, port stephens",-32.7876,152.08002,grey nurse shark,1.2,Unprovoked,1,boarding,,,Male,
28,1,2018,Injured,WA,"cone bay, kimberley",-16.4683,123.5353,bull shark,,Provoked,1,swimming,,,Male,
13,1,2018,Injured,NSW,"five islands, wollongong",-34.425072,150.893143,white shark,3.5,Unprovoked,1,snorkelling,,surface wound,Female,28
5,1,2018,Injured,WA,gracetown,-33.8416,115.0221,wobbegong,,Unprovoked,,boarding,foot,minor lacerations,Male,
14,1,2018,Injured,QLD,lizard island,-14.668,145.4638,grey reef shark,2,Provoked,1,snorkelling,,major lacerations,Male,
1,2,2018,Uninjured,WA,"avalon point, mandurah",-32.5361,115.7424,whaler shark,,Provoked,1,spearfishing,,,Male,14
15,2,2018,Injured,NSW,"kiama surf beach, kiama",-34.67,150.84,whaler shark,2,Unprovoked,1,other: standing in water,"leg, foot",minor lacerations,Male,35
5,2,2018,Injured,WA,"mullaoo beach, joondalup",-31.7789,115.7326,wobbegong,0.4,Unprovoked,1,swimming,calf,minor lacerations,Female,17
15,2,2018,Injured,WA,"rocky point, eagle bay",-33.5638,115.0629,wobbegong,,Provoked,,snorkelling,leg,minor lacerations,Male,
23,2,2018,Injured,NSW,"congwong beach, botany bay",-33.993,151.1753,white shark,3,Unprovoked,1,swimming,leg,major lacerations,Female,55
4,3,2018,Uninjured,WA,hamelin bay,-34.2256,115.0609,tiger shark,2,Provoked,1,snorkelling,other: uninjured,,Male,
9,3,2018,Injured,VIC,"winkipop, bell's beach",-38.37,144.28,bronze whaler shark,2,Unprovoked,1,boarding,foot,minor lacerations,Male,18
16,4,2018,Injured,WA,"lefthanders, gracetown",-33.8416,115.0221,white shark,3,Unprovoked,1,boarding,thigh,minor lacerations,Male,41
16,4,2018,Injured,WA,"cobblestones beach, gracetown",-33.8416,115.0221,white shark,4,Unprovoked,1,boarding,calf,major lacerations,Male,37
25,4,2018,Uninjured,WA,"main break, prevelly",-33.9825,114.9922,white shark,3,Unprovoked,1,boarding,other: uninjured,,Male,60
11,5,2018,Uninjured,WA,"lefthanders, gracetown",-33.8416,115.0221,white shark,4,Unprovoked,1,boarding,other: uninjured,,Female,
8,6,2018,Injured,NSW,"arrawarra beach, coffs harbour",-30.296,153.11,wobbegong,,Unprovoked,1,boarding,"calf, foot",minor lacerations,Male,19
3,6,2018,Uninjured,NSW,"flat rock, ballina",-28.84,153.601,white shark,,Unprovoked,1,boarding,other: uninjured,,Male,37
19,9,2018,Injured,QLD,"cid harbour, whitsundays",-20.25,148.9333,tiger shark,,Unprovoked,1,swimming,,major lacerations,Female,
20,9,2018,Injured,QLD,"cid harbour, whitsundays",-20.25,148.9333,tiger shark,,Unprovoked,1,swimming,,major lacerations,Female,
28,9,2018,Injured,NT,"groote eylandt, arnhem land (east)",-13.97,136.5933,bull shark,,Unprovoked,1,,,,Male,17
20,10,2018,Injured,NSW,"samurai beach, nsw",-32.7667,152.0833,wobbegong,,Provoked,1,swimming,,,Male,
5,11,2018,Fatal,QLD,"cid harbour, whitsundays",-20.25,148.9333,,,Unprovoked,1,boarding,"leg, arm",,Male,
28,11,2018,Injured,NSW,"shelley beach, manly",-33.37,151.4859,wobbegong,,Unprovoked,1,boarding,foot,punctures,Male,28
6,11,2018,Injured,NSW,"shelly beach, ballina",-28.8632,153.5944,white shark,2.6,Unprovoked,1,boarding,thigh,minor lacerations,Male,43
15,11,2018,Uninjured,QLD,"moffat beach, sunshine coast",-26.791,153.139,tiger shark,,Unprovoked,1,,,,,
17,11,2018,Injured,NSW,"seven mile beach, nowra",-34.830278,150.7561,wobbegong,,Unprovoked,1,boarding,"leg, hand",minor lacerations,Male,24
18,11,2018,Injured,NT,nhulunbuy,-12.1825,136.7819,whaler shark,,Provoked,1,spearfishing,"arm, leg",major lacerations,Male,17
11,11,2018,Injured,WA,"pyramids beach, mandurah",-32.6036,115.6304,grey nurse shark,,Unprovoked,1,boarding,foot,minor lacerations,Male,20
9,12,2018,Injured,NSW,"the bar, nambucca river entrance",-30.643181,153.008839,,,Unprovoked,,,,,,
15,12,2018,Injured,NSW,"the entrance, gosford",-33.425018,151.342224,wobbeogong,1,Provoked,1,swimming,left foot,minor lacerations,Male,68
14,1,2019,Injured,WA,north cottesloe,-31.989,115.7526,wobbegong,,Unprovoked,1,swimming,foot,minor lacerations,Female,15
2,,2019,Uninjured,WA,,-33.6702,114.9951,white shark,,Provoked,1,spearfishing,,,Male,27
4,2,2019,Uninjured,NSW,,-30.452,152.8979,,,Unprovoked,1,boarding,,,Male,50
11,2,2019,Injured,NT,umbakumba - 12 km out to sea,-13.8611,136.8116,whitetip reef shark,,Provoked,1,,,,,
17,2,2019,Injured,NSW,"belongil beach, byron bay",-28.6337,153.6003,white shark,,Unprovoked,1,boarding,leg,major lacerations,Male,41
25,3,2019,Injured,QLD,"block reef, whitsundays",-18.156,147.48,grey reef shark,,Unprovoked,1,snorkelling,"thigh, pelvic region",major lacerations,Male,25
20,4,2019,Injured,NSW,tomaree,-32.7501,152.1459,grey nurse shark,,Provoked,1,spearfishing,arm,minor lacerations,Male,18
14,5,2019,Injured,QLD,yandaran,-24.7293,152.101,,,Unprovoked,1,swimming,"calf, foot",minor lacerations,Male,53
7,6,2019,Uninjured,TAS,,-43.6523,146.277,white shark,,Provoked,1,diving,,,Male,
5,6,2019,Injured,NSW,lennox point,-28.7999,153.58,whaler shark,,Unprovoked,1,,,,,
28,7,2019,Injured,QLD,"cape grenville, far north queensland",-11.9667,143.2333,tiger shark,,Provoked,2,snorkelling,leg,major lacerations,Female,21
2,7,2019,Injured,NSW,"shelly beach, manly",-33.8005,151.2979,grey nurse shark,,Unprovoked,1,swimming,"leg, torso",major lacerations,Male,54
9,7,2019,Injured,QLD,"bells creek, sunshine coast",-26.7994,153.0611,bull shark,1,Unprovoked,1,boarding,arm,minor lacerations,Male,43
18,7,2019,Injured,NSW,"wooyung beach, far north coast",-28.45602Ê,153.54457,bull shark,3,Unprovoked,1,surfing,"leg, thigh",major lacerations,Male,
2,9,2019,Injured,NSW,surf beach kiama,-34.6817,150.8511,,,Unprovoked,,,,,,
7,9,2019,Uninjured,WA,"burns beach, perth",-31.7247,115.7249,white shark,4.5,Provoked,1,spearfishing,,,Male,
29,10,2019,Injured,QLD,"hook passage, whitsundays",-21.957,148.1893,,,,,snorkelling,,,Male,
29,10,2019,Injured,QLD,"hook passage, whitsundays",-20.3441,148.1893,,,Unprovoked,,snorkelling,,,Male,
5,10,2019,Uninjured,NSW,"lighthouse beach, seal rocks",-32.4436,152.5279,white shark,2.5,Unprovoked,1,boarding,,,Male,29
17,10,2019,Uninjured,QLD,"woorim, bribie island, queensland",-27.0609,153.2006,,,,1,boarding,,,Male,17
30,11,2019,Injured,QLD,"bargara, bundaberg",-24.8312,152.4592,,,Unprovoked,,snorkelling,foot,minor lacerations,Male,30
7,12,2019,Injured,WA,exmouth boat harbour,-20.3441,114.143,,,,,,,,,
17,12,2019,Injured,NSW,"killalea beach, shellharbour",-34.6038,150.8676,wobbegong,,Unprovoked,1,boarding,foot,minor lacerations,Male,42
30,12,2019,Injured,QLD,north west island,-23.3,151.71,lemon shark,,,1,swimming,,,Male,
5,1,2020,Fatal,WA,"cull island, esperance",-33.9222,121.9032,white shark,,Unprovoked,,diving,,,,
1,1,2020,Uninjured,NSW,"gallows beach, coffs harbour",-30.3119,153.1427,bull shark,,Unprovoked,,boarding,,,,
19,1,2020,Uninjured,WA,"geordie bay, rottnest island",-31.9908,115.5215,white shark,,Provoked,1,snorkelling,,,Male,
8,1,2020,Injured,QLD,"north west island, gladstone, qld",-23.2951,151.7079,lemon shark,,Unprovoked,,swimming,,,,
17,1,2020,Injured,NSW,"windang beach, wollongong, nsw",-34.5343,150.8746,,,Unprovoked,1,boarding,foot,minor lacerations,Male,60
6,2,2020,Injured,QLD,"lizard island, research station",-14.6787,145.4483,lemon shark,,Unprovoked,1,swimming,"head, torso",minor lacerations,Female,64
21,4,2020,Injured,NSW,"killick creek, crescent head",-31.19,152.98,wobbegong,,Unprovoked,1,swimming,foot,minor lacerations,Female,55
7,4,2020,Fatal,QLD,north west island,-23.2951,151.7079,,,Unprovoked,1,swimming,"arm, leg, torso",,Male,23
19,4,2020,Uninjured,WA,"steps surf break, lighthouse bay, exmouth",-21.93,114.117778,bull shark,,Unprovoked,1,boarding,,,Male,10
6,4,2020,Uninjured,NSW,"surf beach, kiama",-34.6817,150.8511,bull shark,,Unprovoked,1,boarding,,,Male,21
8,5,2020,Injured,VIC,bells beach,-38.3669,144.2847,whaler shark,,Unprovoked,1,boarding,leg,minor lacerations,Male,23
7,6,2020,Fatal,NSW,"casuarina beach, kingscliff ",-28.2778,153.5774,white shark,,Unprovoked,1,boarding,thigh,,Male,60
6,6,2020,Injured,WA,"tantabiddi beach, ningaloo",-22.6799,113.698,,,Unprovoked,1,boarding,,,Female,
13,6,2020,Uninjured,NSW,macmasters beach,-33.49762,151.420378,white shark,3,Unprovoked,1,boarding,,,,
14,6,2020,Uninjured,NSW,"bulli, illawarra",-34.33834,150.91347,bronze whaler shark,2.5,Provoked,1,spearfishing,,,Female,16
14,6,2020,Uninjured,NSW,"bulli, illawarra",-34.33834,150.91347,bronze whaler shark,2.5,Provoked,1,spearfishing,,,Male,13
14,6,2020,Uninjured,NSW,"bulli, illawarra",-34.33834,150.91347,bronze whaler shark,2.5,Provoked,1,spearfishing,,,Male,13
31,7,2020,Injured,WA,bunker bay,-33.5427,115.0392,white shark,,Unprovoked,1,,,,,
14,7,2020,Injured,QLD,"fitzroy island, cairns",-16.9337,145.9943,whaler shark,,Unprovoked,1,swimming,"leg, foot",major lacerations,Female,29
4,7,2020,Fatal,QLD,"fraser island, sunshine coast",-25.2398,153.1325,whaler shark,,Provoked,1,snorkelling,"leg, foot",,Male,36
17,7,2020,Injured,TAS,"stanley, north west coast",-40.7667,145.3,white shark,,Provoked,1,fishing,"arm, torso, head",major lacerations,Male,10
8,7,2020,Uninjured,NSW,"terrigal, central coast",-33.44815Ê,151.44666,dusky shark,,Unprovoked,1,swimming,,,Female,55
11,7,2020,Fatal,NSW,"wooli beach, wilsons headland, mid north coast",-29.853,153.2715,white shark,,Unprovoked,1,boarding,,major lacerations,Male,15
15,8,2020,Injured,NSW,"shelly beach, port macquarie",-31.4333,152.9,white shark,,Unprovoked,1,boarding,leg,major lacerations,Female,35
8,9,2020,Fatal,QLD,"greenmount beach, gold coast",-28.164,153.5476,white shark,,Unprovoked,,,,,,
17,9,2020,Uninjured,NSW,cabarita beach ,-28.33362,153.569698,white shark,3.5,Provoked,1,boarding,,,Male,43
21,9,2020,Uninjured,NSW,"birubi, port stephens",-32.7876Ê,152.08002,whaler shark,2,Unprovoked,1,standing,leg,minor lacerations,Male,46
21,9,2020,Injured,NSW,"birubi, port stephens",-32.7876Ê,153.08002,wobbegong,2,Unprovoked,1,boarding,leg,minor lacerations,Male,
20,10,2020,Injured,NSW,"magic point, maroubra",-33.95,151.267,white shark,4,Unprovoked,1,scuba diving,leg,minor lacerations,Male,45
21,10,2020,Uninjured,NSW,"queenscliff, north steyne",-38.26789,144.66193,whaler shark,1,Unprovoked,1,boarding,,,Male,28
25,10,2020,Injured,QLD,"britomart reef, hinchinbrook island",-18.25,146.666944,bull shark,,Provoked,1,spearfishing,leg,major lacerations,Male,59
9,10,2020,Fatal,WA,"kelps beds, esperance ",-34.8611,121.8919,white shark,,Unprovoked,1,boarding,,,Male,
22,11,2020,Fatal,WA,"cable beach, broome",-17.9319,122.2081,bull shark,,Unprovoked,1,boarding,,,Male,50
26,11,2020,Uninjured,QLD,"magpie reef, princess charlotte bay, cape york",-13.7333,143.8667,hammerhead shark,,Provoked,1,fishing,,,Male,
2,11,2020,Injured,NSW,"town beach, port macquarie",-31.4295,152.9193,wobbegong,,Unprovoked,1,boarding,"hand, foot",minor lacerations,Male,13
9,12,2020,Injured,WA,"cable beach, broome",-17.9319,122.2081,bull shark,,Unprovoked,1,boarding,,,Male,
6,12,2020,Injured,SA,"d'estrees bay, kangaroo island",-35.9295,137.5966,white shark,,Unprovoked,1,boarding,,,Male,29
23,1,2021,Injured,NSW,lake macquarie,-33.0833,151.5833,bull shark,,Unprovoked,1,swimming,,,Male,
30,1,2021,Injured,WA,"melaleuca beach, cowaramup bay, gracetown",-33.864,114.9864,wobbegong,,Unprovoked,1,swimming,foot,minor lacerations,Female,46
14,1,2021,Injured,WA,"swan river, point walter reserve, bicton",-32.0117,115.7866,bull shark,,Unprovoked,1,swimming,,major lacerations,Male,50
14,2,2021,Injured,WA,lancelin back beach,-31.034,115.3356,wobbegong,,Unprovoked,1,boarding,,,,
7,3,2021,Uninjured,NSW,"cronulla beach, sydney",-34.0557,151.1551,wobbegong,,Unprovoked,1,boarding,,,Male,28
27,3,2021,Uninjured,WA,"deepene beach, elephant rock, hamelin bay",-34.2763,115.052,wobbegong,1,Provoked,1,spearfishing,,,Male,
13,3,2021,Injured,NSW,merimbula main beach,-36.8875,149.9059,,,Unprovoked,1,swimming,"torso, pelvic region",major lacerations,Female,63
27,3,2021,Injured,WA,"sandy point, warroora station, coral bay",-23.325,113.791,bull shark,,Provoked,1,spearfishing,calf,minor lacerations,Male,
20,3,2021,Uninjured,WA,yallingup,-33.6397,115.0263,blacktip reef shark,2,Unprovoked,1,boarding,,,Male,
19,4,2021,Injured,WA,dampier boat ramp,-20.6564,116.7081,blacktip reef shark,0.8,Unprovoked,1,swimming,foot,,Male,33
21,5,2021,Injured,WA,quondong beach,-17.5804,122.1571,tiger shark ,3,Provoked,1,spearfishing,"arm, hand",minor lacerations,Male,48
18,5,2021,Fatal,NSW,tuncurry beach,-32.1521,152.5053,white shark,4.5,Unprovoked,1,boarding,,,Male,
11,6,2021,Injured,WA,"five fingers reef, coral bay",-23.1423,113.7723,tiger shark ,2,Unprovoked,1,snorkelling,foot,,Male,10
23,6,2021,Injured,WA,"gumtree bay, leeman",-29.9453,114.9824,white shark,4,Provoked,1,spearfishing,"calf, foot",minor lacerations,Male,25
5,7,2021,Injured,NSW,killick beach at crescent head,-31.1295,153.0011,white shark,,Unprovoked,1,boarding,arm,,Male,25
27,7,2021,Injured,WA,varanus island,-20.6517,115.5785,lemon shark,,Provoked,1,motorised boating,"leg, pelvic region",minor lacerations,Male,32
5,9,2021,Fatal,NSW,emerald beach,-30.1575,153.1502,white shark,,Unprovoked,1,boarding,arm,,Male,31
18,9,2021,Injured,NSW,"park beach, coffs harbour",-30.286,153.1364,wobbegong,,Unprovoked,1,boarding,foot,minor lacerations,Male,47
17,10,2021,Injured,QLD,"hook passage, whitsundays",-20.2665,148.8819,,,Unprovoked,1,swimming,leg,minor lacerations,Male,
11,10,2021,Injured,NSW,moonee beach,-30.2042,153.149,wobbegong,,Unprovoked,1,boarding,foot,minor lacerations,Male,37
6,11,2021,Fatal,WA,"port beach, fremantle",-32.0569,115.7439,white shark,,Unprovoked,,swimming,,,Male,57
6,12,2021,Injured,VIC,"ocean grove beach, geelong",-38.2676,144.5067,,,Unprovoked,,,torso,minor lacerations,Male,
6,12,2021,Injured,VIC,"ocean grove beach, geelong",-38.2676,144.5067,,,Unprovoked,,boarding,"leg, hand",minor lacerations,Female,15
12,12,2021,Injured,QLD,"rocky island, yarrabah, far north queensland",-16.9062,145.8662,bull shark,,Provoked,1,spearfishing,leg,major lacerations,Male,24
4,1,2022,Injured,NSW,hyams beach (seamans),-35.1011,150.6892,whaler shark,,Unprovoked,1,swimming,"leg, thigh",minor lacerations,Female,42
24,1,2022,Injured,NSW,turimetta,-33.7,151.2999,wobbegong,,Unprovoked,,swimming,foot,minor lacerations,Male,11
22,1,2022,Injured,WA,"whalers beach, albany",-35.0031,117.866,wobbegong,,Unprovoked,,snorkelling,"leg, other: multiple bites",minor lacerations,Male,
16,2,2022,Fatal,NSW,"little bay, sydney",-30.883,153.083,white shark,4.5,Unprovoked,1,swimming,,,Male,35
17,2,2022,Injured,QLD,"Redcliffe, Brisbane",-27.2333,153.2667,tiger shark,3.5,Unprovoked,1,other:floating,leg,major lacerations,,
6,2,2022,Injured,WA,"wylie bay, esperance",-33.84848Ê,121.9184,white shark,3.3,Unprovoked,1,other:floating,torso,major lacerations,Female,20
20,2,2022,Injured,NSW,"shelley beach, manly",-33.8006,151.2982,wobbegong,,Unprovoked,1,scuba diving,,,,
22,3,2022,Injured,NSW,crowdy head beach,-32,152.7512,wobbegong,,Unprovoked,1,wading,minor lacerations,Male,32,
8,3,2022,Uninjured,NSW,"maroubra beach, sydney",-33.9516,151.2603,unknown,,Unprovoked,,surfing,,Male,47,
